space_id,label,areas,volumes,perimeter,X,Y,Z,aspect_ratio,boundary_line,surface_areas,ax1s
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073218,Bathroom,4.837,11.125,9.94,3.1,1.87,2.3,0.603225806,6,32.536,2.924557982
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073219,Hallway,5.88,13.523,9.9,2.68,2.27,2.3,0.847014925,11,34.529,2.553338441
cfaa4c91-8fb5-4955-8873-b3591f97355e-0007321a,Bedroom,12.3,28.29,14.2,4.1,3,2.3,0.731707317,6,57.26,2.024036762
cfaa4c91-8fb5-4955-8873-b3591f97355e-0007321b,Balcony,5.986,13.768,11.12,4.1,1.46,2.3,0.356097561,4,37.548,2.727233109
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073224,Living room,25.45,58.534,20.2,5.28,4.82,2.3,0.912878788,7,97.359,1.663287439
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073226,Kitchen,10.139,23.321,13.02,2.58,3.93,2.3,1.523255814,6,50.225,2.153673444
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073228,Entrance,4.263,9.805,8.26,2.1,2.03,2.3,0.966666667,4,27.524,2.807167845
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073230,AD/PD,0.686,1.578,3.36,0.7,0.98,2.3,1.4,4,9.1,5.767524401
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073234,AD/PD,0.6,1.38,3.2,1,0.6,2.3,0.6,4,8.56,6.202898551
cfaa4c91-8fb5-4955-8873-b3591f97355e-0007335e,AD/PD,0.75,1.725,4,1.5,0.5,2.3,0.333333333,4,10.7,6.202898551
cfaa4c91-8fb5-4955-8873-b3591f97355e-0007335f,Bedroom,11.16,25.668,13.4,3.1,3.6,2.3,1.161290323,5,53.14,2.070282063
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073360,Bathroom,3.15,7.245,7.2,1.5,2.1,2.3,1.4,5,22.86,3.155279503
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073361,Bedroom,7.776,17.885,11.16,2.88,2.7,2.3,0.9375,7,41.22,2.304750403
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073362,Bedroom,13.34,30.682,15,4.6,2.9,2.3,0.630434783,6,61.18,1.994002999
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073363,Dress room,4.308,9.908,8.6,2.5,1.8,2.3,0.72,6,28.396,2.865851197
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073364,Balcony,3.42,7.866,7.4,1.9,1.8,2.3,0.947368421,5,23.86,3.033307907
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073365,AD/PD,0.49,1.127,2.8,0.7,0.7,2.3,1,4,7.42,6.583850932
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073366,Bathroom,3.836,8.823,8.64,2.02,2.3,2.3,1.138613861,6,27.544,3.121911411
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073367,Kitchen,10.54,24.242,15,2.6,4.9,2.3,1.884615385,7,55.58,2.292715123
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073368,Entrance,2.34,5.382,6.2,1.7,1.4,2.3,0.823529412,7,18.94,3.519137867
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073369,Hallway,9.94,22.862,17,7.1,1.4,2.3,0.197183099,13,58.98,2.579826787
cfaa4c91-8fb5-4955-8873-b3591f97355e-0007336a,Living room,15.3,35.19,15.8,3.4,4.5,2.3,1.323529412,6,66.94,1.902244956
cfaa4c91-8fb5-4955-8873-b3591f97355e-0007336b,Evacuation room,2.52,5.796,6.6,2.1,1.2,2.3,0.571428571,4,20.22,3.488612836
cfaa4c91-8fb5-4955-8873-b3591f97355e-0007336c,Balcony,2.76,6.348,7,2.3,1.2,2.3,0.52173913,4,21.62,3.405797101
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073537,AD/PD,2.18,5.014,7,1.7,1.8,2.3,1.058823529,6,20.46,4.080574392
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073538,Bedroom,9.9,22.77,13.4,4.5,2.2,2.3,0.488888889,5,50.62,2.223100571
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073539,AD/PD,0.96,2.208,4.4,1.6,0.6,2.3,0.375,4,12.04,5.452898551
cfaa4c91-8fb5-4955-8873-b3591f97355e-0007353a,Bedroom,9,20.7,12,3,3,2.3,1,5,45.6,2.202898551
cfaa4c91-8fb5-4955-8873-b3591f97355e-0007353b,Balcony,3.36,7.728,7.4,1.6,2.1,2.3,1.3125,4,23.74,3.07194617
cfaa4c91-8fb5-4955-8873-b3591f97355e-0007353c,Bathroom,5.76,13.248,10,3.2,1.8,2.3,0.5625,6,34.52,2.605676329
cfaa4c91-8fb5-4955-8873-b3591f97355e-0007353d,Bedroom,12.75,29.325,15.2,5.1,2.5,2.3,0.490196078,6,60.46,2.06172208
cfaa4c91-8fb5-4955-8873-b3591f97355e-0007353e,Balcony,3.92,9.016,8.4,2.8,1.4,2.3,0.5,4,27.16,3.01242236
cfaa4c91-8fb5-4955-8873-b3591f97355e-0007353f,Entrance,3.52,8.096,7.6,2.2,1.6,2.3,0.727272727,4,24.52,3.028656126
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073540,Living room,27.14,62.422,21,4.6,5.9,2.3,1.282608696,8,102.58,1.643330877
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073541,Kitchen,6.5,14.95,12.6,5,1.3,2.3,0.26,7,41.98,2.808026756
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073542,Hallway,6.25,14.375,11.8,1.4,4.5,2.3,3.214285714,11,39.64,2.757565217
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073550,Bathroom,4.165,9.58,8.3,2.45,1.7,2.3,0.693877551,5,27.42,2.862362336
cfaa4c91-8fb5-4955-8873-b3591f97355e-0007355d,Dress room,4.165,9.58,8.3,2.45,1.7,2.3,0.693877551,5,27.42,2.862362336
cfaa4c91-8fb5-4955-8873-b3591f97355e-00073568,Evacuation room,2.94,6.762,7,2.1,1.4,2.3,0.666666667,4,21.98,3.250517598
cfaa4c91-8fb5-4955-8873-b3591f97355e-000736ed,AD/PD,0.84,1.932,3.8,0.7,1.2,2.3,1.714285714,4,10.42,5.393374741
cfaa4c91-8fb5-4955-8873-b3591f97355e-000736ee,Bathroom,3.36,7.728,7.4,2.1,1.6,2.3,0.761904762,6,23.74,3.07194617
cfaa4c91-8fb5-4955-8873-b3591f97355e-000736ef,Bedroom,12.95,29.785,14.4,3.5,3.7,2.3,1.057142857,5,59.02,1.981534329
cfaa4c91-8fb5-4955-8873-b3591f97355e-000736f0,Balcony,3.01,6.923,6.94,1.75,1.72,2.3,0.982857143,5,21.982,3.175213058
cfaa4c91-8fb5-4955-8873-b3591f97355e-000736f1,Bedroom,8.208,18.878,11.76,2.28,3.6,2.3,1.578947368,8,43.464,2.302313755
cfaa4c91-8fb5-4955-8873-b3591f97355e-000736f2,Evacuation room,1.52,3.496,5.04,1.52,1,2.3,0.657894737,4,14.632,4.185354691
cfaa4c91-8fb5-4955-8873-b3591f97355e-000736f3,AD/PD,0.882,2.028,4.2,1.52,0.58,2.3,0.381578947,4,11.423,5.633531918
cfaa4c91-8fb5-4955-8873-b3591f97355e-000736f4,Bathroom,2.462,5.664,6.28,1.52,1.62,2.3,1.065789474,4,19.369,3.419957906
cfaa4c91-8fb5-4955-8873-b3591f97355e-000736f5,Balcony,5.55,12.765,10.4,3.7,1.5,2.3,0.405405405,4,35.02,2.743439091
cfaa4c91-8fb5-4955-8873-b3591f97355e-000736f6,Kitchen,10.776,24.785,15.4,3.3,4.4,2.3,1.333333333,7,56.972,2.298666925
cfaa4c91-8fb5-4955-8873-b3591f97355e-000736f7,Dress room,3.22,7.406,7.4,2.3,1.4,2.3,0.608695652,5,23.46,3.167701863
cfaa4c91-8fb5-4955-8873-b3591f97355e-000736f8,Bedroom,11.84,27.232,13.8,3.7,3.2,2.3,0.864864865,5,55.42,2.035105758
