space_id,label,areas,volumes,perimeter,X,Y,Z,aspect_ratio,boundary_line,surface_areas,ax1s
62160af9-76cf-4fd8-8299-715b843f6b90-0007525d,Evacuation room,2.296,5.281,6.08,1.64,1.4,2.3,0.853658537,4,18.576,3.517648841
62160af9-76cf-4fd8-8299-715b843f6b90-0007525e,Dress room,2.548,5.86,6.52,1.96,1.3,2.3,0.663265306,4,20.092,3.428434919
62160af9-76cf-4fd8-8299-715b843f6b90-0007525f,Storage,1.872,4.306,5.48,1.44,1.3,2.3,0.902777778,4,16.348,3.796915645
62160af9-76cf-4fd8-8299-715b843f6b90-00075260,Kitchen,13.12,30.176,14.6,3.3,4,2.3,1.212121212,10,59.82,1.982370095
62160af9-76cf-4fd8-8299-715b843f6b90-00075261,Entrance,1.87,4.301,5.6,1.5,1.3,2.3,0.866666667,6,16.62,3.864217624
62160af9-76cf-4fd8-8299-715b843f6b90-00075262,Hallway,5,11.5,12,5,1,2.3,0.2,9,37.6,3.269565217
62160af9-76cf-4fd8-8299-715b843f6b90-00075263,Living room,13.3,30.59,14.6,3.8,3.5,2.3,0.921052632,5,60.18,1.967309578
62160af9-76cf-4fd8-8299-715b843f6b90-00075282,AD/PD,0.56,1.288,3,0.7,0.8,2.3,1.142857143,4,8.02,6.226708075
62160af9-76cf-4fd8-8299-715b843f6b90-00075402,Bedroom,11.412,26.248,13.54,3.6,3.17,2.3,0.880555556,7,53.966,2.056035599
62160af9-76cf-4fd8-8299-715b843f6b90-00075403,Bedroom,9.6,22.08,12.4,3.2,3,2.3,0.9375,6,47.72,2.161231884
62160af9-76cf-4fd8-8299-715b843f6b90-00075404,Bathroom,4.064,9.347,8.28,2.54,1.6,2.3,0.62992126,5,27.172,2.906966792
62160af9-76cf-4fd8-8299-715b843f6b90-00075405,Storage,1.863,4.285,5.54,1.15,1.62,2.3,1.408695652,5,16.468,3.843263553
62160af9-76cf-4fd8-8299-715b843f6b90-00075406,Dress room,2.385,5.486,6.62,2.25,1.06,2.3,0.471111111,4,19.996,3.645246559
62160af9-76cf-4fd8-8299-715b843f6b90-00075407,AD/PD,1.04,2.392,4.2,1.3,0.8,2.3,0.615384615,5,11.74,4.908026756
62160af9-76cf-4fd8-8299-715b843f6b90-00075408,Balcony,4.03,9.269,8.8,1.3,3.1,2.3,2.384615385,5,28.3,3.053188046
62160af9-76cf-4fd8-8299-715b843f6b90-00075409,Evacuation room,1.43,3.289,4.8,1.3,1.1,2.3,0.846153846,4,13.9,4.226208574
62160af9-76cf-4fd8-8299-715b843f6b90-0007540a,Balcony,2.088,4.802,5.88,1.74,1.2,2.3,0.689655172,4,17.7,3.685657171
62160af9-76cf-4fd8-8299-715b843f6b90-0007540b,Evacuation room,1.992,4.582,5.72,1.66,1.2,2.3,0.722891566,4,17.14,3.741051161
62160af9-76cf-4fd8-8299-715b843f6b90-0007540c,Entrance,2.344,5.39,6.32,1.35,1.81,2.3,1.340740741,6,19.223,3.566386212
62160af9-76cf-4fd8-8299-715b843f6b90-0007540d,Kitchen,7.65,17.595,11.22,2.61,3,2.3,1.149425287,7,41.106,2.336231884
62160af9-76cf-4fd8-8299-715b843f6b90-0007540e,Hallway,5.236,12.043,11.18,1.19,4.4,2.3,3.697478992,10,36.186,3.004782941
62160af9-76cf-4fd8-8299-715b843f6b90-0007540f,Living room,15.2,34.96,15.6,3.8,4,2.3,1.052631579,8,66.28,1.895881007
62160af9-76cf-4fd8-8299-715b843f6b90-000755ab,Bedroom,11.34,26.082,13.8,2.7,4.2,2.3,1.555555556,6,54.42,2.086496434
62160af9-76cf-4fd8-8299-715b843f6b90-000755ac,Dress room,4.32,9.936,10.2,2.4,2.7,2.3,1.125,7,32.1,3.230676329
62160af9-76cf-4fd8-8299-715b843f6b90-000755ad,Storage,1.61,3.703,5.1,1.15,1.4,2.3,1.217391304,4,14.95,4.037267081
62160af9-76cf-4fd8-8299-715b843f6b90-000755ae,Bedroom,15.75,36.225,16,3.5,4.5,2.3,1.285714286,6,68.3,1.885438233
62160af9-76cf-4fd8-8299-715b843f6b90-000755af,AD/PD,0.901,2.071,3.8,0.901,1,2.3,1.109877913,5,10.544,5.09024819
62160af9-76cf-4fd8-8299-715b843f6b90-000755b0,Bathroom,3.68,8.465,9,2.501,2,2.3,0.799680128,6,28.064,3.315247603
62160af9-76cf-4fd8-8299-715b843f6b90-000755b1,Storage,1.495,3.439,4.9,1.15,1.3,2.3,1.130434783,4,14.26,4.147157191
62160af9-76cf-4fd8-8299-715b843f6b90-000755b2,Balcony,3.38,7.774,7.8,2.6,1.3,2.3,0.5,4,24.7,3.177257525
62160af9-76cf-4fd8-8299-715b843f6b90-000755b3,Evacuation room,2.535,5.831,6.5,1.95,1.3,2.3,0.666666667,5,20.02,3.433667781
62160af9-76cf-4fd8-8299-715b843f6b90-000755b4,Living room,15.84,36.432,16,3.6,4.4,2.3,1.222222222,4,68.48,1.879666227
62160af9-76cf-4fd8-8299-715b843f6b90-000755b5,Kitchen,9.46,21.758,13,4.3,2.2,2.3,0.511627907,4,48.82,2.243772406
62160af9-76cf-4fd8-8299-715b843f6b90-000755b6,Hallway,14.56,33.488,21.4,9.1,1.6,2.3,0.175824176,13,78.34,2.339345437
62160af9-76cf-4fd8-8299-715b843f6b90-000755b7,Entrance,2.749,6.323,6.8,1.899,1.5,2.3,0.789889415,7,21.135,3.342621108
62160af9-76cf-4fd8-8299-715b843f6b90-00075734,Bedroom,9.746,22.416,12.6,3.57,2.73,2.3,0.764705882,5,48.472,2.162381117
62160af9-76cf-4fd8-8299-715b843f6b90-00075735,AD/PD,0.84,1.932,4.12,0.56,1.5,2.3,2.678571429,4,11.156,5.774327122
62160af9-76cf-4fd8-8299-715b843f6b90-00075736,Bathroom,2.91,6.693,6.88,1.94,1.5,2.3,0.773195876,5,21.644,3.233826386
62160af9-76cf-4fd8-8299-715b843f6b90-00075737,Dress room,3.747,8.618,8.96,2.9,1.58,2.3,0.544827586,8,28.102,3.260811548
62160af9-76cf-4fd8-8299-715b843f6b90-00075738,Balcony,2.34,5.382,6.2,1.8,1.3,2.3,0.722222222,4,18.94,3.519137867
62160af9-76cf-4fd8-8299-715b843f6b90-00075739,Evacuation room,1.096,2.521,4.34,1.37,0.8,2.3,0.583941606,4,12.174,4.829419232
62160af9-76cf-4fd8-8299-715b843f6b90-0007573a,Balcony,3.918,9.012,8.46,1.37,2.86,2.3,2.087591241,4,27.294,3.028675545
62160af9-76cf-4fd8-8299-715b843f6b90-0007573b,Bedroom,8.818,20.281,12.08,3.57,2.47,2.3,0.691876751,5,45.42,2.239515768
62160af9-76cf-4fd8-8299-715b843f6b90-0007573c,AD/PD,0.469,1.079,2.74,0.67,0.7,2.3,1.044776119,4,7.24,6.711782701
62160af9-76cf-4fd8-8299-715b843f6b90-0007573d,Entrance,3.597,8.273,7.94,1.67,2.3,2.3,1.377245509,9,25.456,3.076960269
62160af9-76cf-4fd8-8299-715b843f6b90-0007573e,Bathroom,2.793,6.424,6.74,1.47,1.9,2.3,1.292517007,5,21.088,3.282741014
62160af9-76cf-4fd8-8299-715b843f6b90-0007573f,Bedroom,10.428,23.984,12.92,3.3,3.16,2.3,0.957575758,8,50.572,2.108537216
62160af9-76cf-4fd8-8299-715b843f6b90-00075740,Kitchen,8.583,19.741,13.04,4.64,1.88,2.3,0.405172414,9,47.158,2.388791856
62160af9-76cf-4fd8-8299-715b843f6b90-00075750,Hallway,5.923,13.624,13.62,1.03,5.78,2.3,5.611650485,13,43.173,3.168934998
62160af9-76cf-4fd8-8299-715b843f6b90-00075752,Living room,17.612,40.508,16.92,3.7,4.76,2.3,1.286486486,8,74.14,1.830273825
62160af9-76cf-4fd8-8299-715b843f6b90-00075757,Evacuation room,1.69,3.887,5.2,1.3,1.3,2.3,1,4,15.34,3.946488294
d6d2b12b-d528-462c-91e9-b6d2866ce3b9-00078b33,Kitchen,6.56,15.088,11.4,1.6,4.1,2.3,2.5625,7,39.34,2.607370095
d6d2b12b-d528-462c-91e9-b6d2866ce3b9-00078b34,Hallway,19.86,45.711,24,7.2,4.8,2.438,0.666666667,19,95.308,2.085002508
d6d2b12b-d528-462c-91e9-b6d2866ce3b9-00078b35,Living room,19.32,44.436,17.6,4.2,4.6,2.3,1.095238095,6,79.12,1.780538302
a422cc1f-7917-47d7-961d-730e056aaac0-0007303d,Balcony,3.9,8.97,8.6,3,1.3,2.3,0.433333333,4,27.58,3.074693423
a422cc1f-7917-47d7-961d-730e056aaac0-0007303e,Bedroom,9.24,21.252,12.16,3,3.08,2.3,1.026666667,5,46.448,2.185582533
a422cc1f-7917-47d7-961d-730e056aaac0-0007303f,AD/PD,0.508,1.167,3.03,0.5,1.015,2.3,2.03,4,7.984,6.840008567
a422cc1f-7917-47d7-961d-730e056aaac0-00073040,Bathroom,3.123,7.184,8.33,1.48,2.685,2.3,1.814189189,6,25.406,3.536671776
a422cc1f-7917-47d7-961d-730e056aaac0-00073041,Bedroom,9.633,22.156,12.74,2.47,3.9,2.3,1.578947368,6,48.568,2.192102329
a422cc1f-7917-47d7-961d-730e056aaac0-00073042,Storage,0.722,1.659,3.43,0.74,0.975,2.3,1.317567568,4,9.332,5.623549971
a422cc1f-7917-47d7-961d-730e056aaac0-00073043,AD/PD,0.793,1.824,3.82,1.3,0.61,2.3,0.469230769,4,10.372,5.68671528
a422cc1f-7917-47d7-961d-730e056aaac0-00073044,Balcony,3.152,7.25,8.37,3.2,0.985,2.3,0.3078125,4,25.555,3.52502207
a422cc1f-7917-47d7-961d-730e056aaac0-00073045,Bathroom,2.834,6.518,6.96,1.3,2.18,2.3,1.676923077,6,21.676,3.325457949
a422cc1f-7917-47d7-961d-730e056aaac0-00073046,Kitchen,13.072,30.066,14.57,3.2,4.085,2.3,1.2765625,5,59.655,1.984161301
a422cc1f-7917-47d7-961d-730e056aaac0-00073047,Entrance,3.705,8.522,7.7,1.95,1.9,2.3,0.974358974,6,25.12,2.947837822
a422cc1f-7917-47d7-961d-730e056aaac0-00073048,Living room,19.885,45.735,17.88,4.16,4.78,2.3,1.149038462,6,80.894,1.768753236
a422cc1f-7917-47d7-961d-730e056aaac0-00073049,Hallway,7.581,17.437,16.34,7.08,1.09,2.438,0.153954802,12,52.831,3.029766633
a422cc1f-7917-47d7-961d-730e056aaac0-0007304a,Bedroom,14.851,34.158,15.44,3.64,4.08,2.3,1.120879121,7,65.214,1.909200135
a422cc1f-7917-47d7-961d-730e056aaac0-0007304b,Dress room,3.241,7.455,7.34,1.48,2.19,2.3,1.47972973,5,23.364,3.134104921
a422cc1f-7917-47d7-961d-730e056aaac0-00073280,AD/PD,1.446,3.326,6.02,2.41,0.6,2.3,0.248962656,4,16.738,5.032774069
a422cc1f-7917-47d7-961d-730e056aaac0-00073281,Balcony,4.004,9.209,8.76,3.08,1.3,2.3,0.422077922,4,28.156,3.057377405
a422cc1f-7917-47d7-961d-730e056aaac0-00073282,AD/PD,0.673,1.549,3.35,0.67,1.005,2.3,1.5,4,9.052,5.844883306
a422cc1f-7917-47d7-961d-730e056aaac0-00073283,Bedroom,9.065,20.849,12.13,2.67,3.395,2.3,1.271535581,6,46.028,2.207716118
a422cc1f-7917-47d7-961d-730e056aaac0-00073284,Balcony,3.471,7.983,7.94,2.67,1.3,2.3,0.486891386,4,25.204,3.157090426
a422cc1f-7917-47d7-961d-730e056aaac0-00073285,Bedroom,8.25,18.976,11.52,2.67,3.09,2.3,1.157303371,5,42.997,2.265899158
a422cc1f-7917-47d7-961d-730e056aaac0-00073286,Storage,1.35,3.105,5.1,0.75,1.8,2.3,2.4,5,14.43,4.647342995
a422cc1f-7917-47d7-961d-730e056aaac0-00073287,AD/PD,0.28,0.644,2.2,0.7,0.4,2.3,0.571428571,4,5.62,8.726708075
a422cc1f-7917-47d7-961d-730e056aaac0-00073288,Bathroom,2.712,6.238,7.35,2.19,1.485,2.3,0.678082192,6,22.329,3.579544225
a422cc1f-7917-47d7-961d-730e056aaac0-00073289,Bathroom,3.579,8.231,7.79,2.41,1.485,2.3,0.616182573,4,25.075,3.046278529
a422cc1f-7917-47d7-961d-730e056aaac0-0007328a,Entrance,2.966,6.821,6.89,1.76,1.685,2.3,0.957386364,5,21.778,3.192843152
a422cc1f-7917-47d7-961d-730e056aaac0-0007328b,Bedroom,16.383,37.682,16.31,4.57,3.585,2.3,0.784463895,6,70.28,1.865084688
a422cc1f-7917-47d7-961d-730e056aaac0-0007328d,Kitchen,17.284,39.753,17.76,4.08,4.8,2.3,1.176470588,7,75.416,1.897105139
a422cc1f-7917-47d7-961d-730e056aaac0-0007328e,Living room,19.671,45.244,17.75,4.58,4.295,2.3,0.937772926,8,80.167,1.771899761
a422cc1f-7917-47d7-961d-730e056aaac0-0007328f,Hallway,6.915,15.905,15.89,6.95,0.995,2.3,0.143165468,12,50.377,3.167353816
a422cc1f-7917-47d7-961d-730e056aaac0-00073768,Balcony,4.316,9.927,9.24,3.32,1.3,2.3,0.391566265,4,29.884,3.010436394
a422cc1f-7917-47d7-961d-730e056aaac0-00073769,Bedroom,11.188,25.733,13.38,3.32,3.37,2.3,1.015060241,5,53.151,2.065454438
a422cc1f-7917-47d7-961d-730e056aaac0-0007376a,Bathroom,4.074,9.37,8.11,1.835,2.22,2.3,1.209809264,5,26.8,2.860341683
a422cc1f-7917-47d7-961d-730e056aaac0-0007376b,AD/PD,1.156,2.659,4.93,1.835,0.63,2.3,0.343324251,4,13.651,5.134049039
a422cc1f-7917-47d7-961d-730e056aaac0-0007376c,Balcony,3.819,8.784,9.21,3.52,1.085,2.3,0.308238636,4,28.821,3.281019471
a422cc1f-7917-47d7-961d-730e056aaac0-0007376d,AD/PD,0.532,1.225,3.13,0.5,1.065,2.3,2.13,4,8.264,6.74749949
a422cc1f-7917-47d7-961d-730e056aaac0-0007376e,Bathroom,3.041,6.993,8.25,1.49,2.635,2.3,1.768456376,6,25.056,3.582757977
a422cc1f-7917-47d7-961d-730e056aaac0-0007376f,Bedroom,10.197,23.454,12.97,2.68,3.805,2.3,1.419776119,6,50.226,2.14146658
a422cc1f-7917-47d7-961d-730e056aaac0-00073770,Storage,1.196,2.751,4.38,1.04,1.15,2.3,1.105769231,4,12.466,4.531772575
a422cc1f-7917-47d7-961d-730e056aaac0-00073771,Kitchen,13.746,31.615,14.85,3.52,3.905,2.3,1.109375,5,61.646,1.949904602
a422cc1f-7917-47d7-961d-730e056aaac0-00073772,Entrance,3.303,7.597,7.27,1.835,1.8,2.3,0.980926431,5,23.327,3.070594585
a422cc1f-7917-47d7-961d-730e056aaac0-00073773,Living room,22.612,52.008,19.06,4.46,5.07,2.3,1.1367713,6,89.062,1.712465337
a422cc1f-7917-47d7-961d-730e056aaac0-00073774,Hallway,8.84,20.333,16.89,7.195,1.25,2.438,0.173731758,11,56.582,2.782793071
a422cc1f-7917-47d7-961d-730e056aaac0-00073775,Bedroom,16.995,39.088,16.5,3.98,4.27,2.3,1.072864322,7,71.939,1.840456738
a422cc1f-7917-47d7-961d-730e056aaac0-00073776,Dress room,3.457,7.951,7.62,1.49,2.32,2.3,1.55704698,5,24.44,3.073966373
a422cc1f-7917-47d7-961d-730e056aaac0-00073b2c,Balcony,4.316,9.927,9.24,3.32,1.3,2.3,0.391566265,4,29.884,3.010436394
a422cc1f-7917-47d7-961d-730e056aaac0-00073b2d,Bedroom,11.188,25.733,13.38,3.32,3.37,2.3,1.015060241,5,53.151,2.065454438
a422cc1f-7917-47d7-961d-730e056aaac0-00073b2e,Bathroom,4.074,9.37,8.11,1.835,2.22,2.3,1.209809264,5,26.8,2.860341683
a422cc1f-7917-47d7-961d-730e056aaac0-00073b2f,AD/PD,1.156,2.659,4.93,1.835,0.63,2.3,0.343324251,4,13.651,5.134049039
a422cc1f-7917-47d7-961d-730e056aaac0-00073b30,Balcony,3.819,8.784,9.21,3.52,1.085,2.3,0.308238636,4,28.821,3.281019471
a422cc1f-7917-47d7-961d-730e056aaac0-00073b31,AD/PD,0.532,1.225,3.13,0.5,1.065,2.3,2.13,4,8.264,6.74749949
a422cc1f-7917-47d7-961d-730e056aaac0-00073b32,Bathroom,3.041,6.993,8.25,1.49,2.635,2.3,1.768456376,6,25.056,3.582757977
a422cc1f-7917-47d7-961d-730e056aaac0-00073b33,Bedroom,10.197,23.454,12.97,2.68,3.805,2.3,1.419776119,6,50.226,2.14146658
a422cc1f-7917-47d7-961d-730e056aaac0-00073b34,Storage,1.196,2.751,4.38,1.04,1.15,2.3,1.105769231,4,12.466,4.531772575
a422cc1f-7917-47d7-961d-730e056aaac0-00073b35,Kitchen,13.746,31.615,14.85,3.52,3.905,2.3,1.109375,5,61.646,1.949904602
a422cc1f-7917-47d7-961d-730e056aaac0-00073b36,Entrance,3.303,7.597,7.27,1.835,1.8,2.3,0.980926431,5,23.327,3.070594585
a422cc1f-7917-47d7-961d-730e056aaac0-00073b37,Living room,22.511,51.775,19.02,4.44,5.07,2.3,1.141891892,6,88.768,1.714500711
a422cc1f-7917-47d7-961d-730e056aaac0-00073b38,Hallway,8.84,20.333,16.89,7.195,1.25,2.438,0.173731758,11,56.582,2.782793071
a422cc1f-7917-47d7-961d-730e056aaac0-00073b39,Bedroom,17.08,39.284,16.54,4,4.27,2.3,1.0675,7,72.202,1.837949292
a422cc1f-7917-47d7-961d-730e056aaac0-00073b3a,Dress room,3.457,7.951,7.62,1.49,2.32,2.3,1.55704698,5,24.44,3.073966373
a422cc1f-7917-47d7-961d-730e056aaac0-00073ec3,Balcony,4.316,9.927,9.24,3.32,1.3,2.3,0.391566265,5,29.884,3.010436394
a422cc1f-7917-47d7-961d-730e056aaac0-00073ec4,Bedroom,11.188,25.733,13.38,3.32,3.37,2.3,1.015060241,6,53.151,2.065454438
a422cc1f-7917-47d7-961d-730e056aaac0-00073ec5,Bathroom,2.686,6.179,6.6,1.46,1.84,2.3,1.260273973,5,20.553,3.326417122
a422cc1f-7917-47d7-961d-730e056aaac0-00073ec6,AD/PD,0.818,1.88,4.04,1.46,0.56,2.3,0.383561644,4,10.927,5.810750447
a422cc1f-7917-47d7-961d-730e056aaac0-00073ec7,Balcony,2.7,6.21,7.4,2.7,1,2.3,0.37037037,4,22.42,3.610305958
a422cc1f-7917-47d7-961d-730e056aaac0-00073ec8,Bedroom,9.434,21.697,12.49,2.56,3.685,2.3,1.439453125,8,47.594,2.193546841
a422cc1f-7917-47d7-961d-730e056aaac0-00073ec9,Bathroom,3.415,7.854,8.45,1.54,2.685,2.3,1.743506494,6,26.265,3.344040885
a422cc1f-7917-47d7-961d-730e056aaac0-00073eca,AD/PD,0.4,0.92,2.8,0.4,1,2.3,2.5,4,7.24,7.869565217
a422cc1f-7917-47d7-961d-730e056aaac0-00073ecb,Storage,1.644,3.781,5.71,0.8,2.055,2.3,2.56875,6,16.421,4.342801227
a422cc1f-7917-47d7-961d-730e056aaac0-00073ecc,Kitchen,14.96,34.409,16.08,3.2,4.84,2.3,1.5125,7,66.905,1.944395604
a422cc1f-7917-47d7-961d-730e056aaac0-00073ecd,Entrance,3.249,7.473,7.22,1.9,1.71,2.3,0.9,5,23.104,3.09178744
a422cc1f-7917-47d7-961d-730e056aaac0-00073ece,Living room,18.019,41.445,16.98,4.22,4.27,2.3,1.011848341,5,75.093,1.811887767
a422cc1f-7917-47d7-961d-730e056aaac0-00073ecf,Hallway,6.512,14.98,16.9,7.56,0.89,2.438,0.117724868,12,51.95,3.467979501
a422cc1f-7917-47d7-961d-730e056aaac0-00073ed0,Bedroom,14.326,32.951,15.18,3.52,4.07,2.3,1.15625,6,63.567,1.929153597
a422cc1f-7917-47d7-961d-730e056aaac0-00073ed1,Dress room,3.152,7.249,7.66,2.04,1.79,2.3,0.87745098,7,23.921,3.300049112
a422cc1f-7917-47d7-961d-730e056aaac0-000742ce,Bedroom,10.908,25.087,13.5,2.68,4.07,2.3,1.518656716,5,52.865,2.107226393
a422cc1f-7917-47d7-961d-730e056aaac0-000742cf,AD/PD,0.343,0.789,2.66,0.35,0.98,2.3,2.8,4,6.804,8.624667258
a422cc1f-7917-47d7-961d-730e056aaac0-000742d0,Bathroom,4.56,10.488,8.56,2,2.28,2.3,1.14,5,28.808,2.7467582
a422cc1f-7917-47d7-961d-730e056aaac0-000742d1,AD/PD,0.5,1.15,3,0.5,1,2.3,2,4,7.9,6.869565217
a422cc1f-7917-47d7-961d-730e056aaac0-000742d2,AD/PD,0.8,1.84,4.2,1.6,0.5,2.3,0.3125,4,11.26,6.119565217
a422cc1f-7917-47d7-961d-730e056aaac0-000742d3,AD/PD,0.32,0.736,2.4,0.4,0.8,2.3,2,4,6.16,8.369565217
a422cc1f-7917-47d7-961d-730e056aaac0-000742d4,Bathroom,2.984,6.863,7.68,1.6,2.24,2.3,1.4,8,23.632,3.443291759
a422cc1f-7917-47d7-961d-730e056aaac0-000742d5,Balcony,2.268,5.216,6.84,2.52,0.9,2.3,0.357142857,6,20.268,3.885438233
a422cc1f-7917-47d7-961d-730e056aaac0-000742d6,Storage,2.208,5.078,5.96,1.6,1.38,2.3,0.8625,4,18.124,3.56884058
a422cc1f-7917-47d7-961d-730e056aaac0-000742d7,Bedroom,9.149,21.042,12.1,2.98,3.07,2.3,1.030201342,5,46.127,2.19216245
a422cc1f-7917-47d7-961d-730e056aaac0-000742d8,Balcony,3.874,8.91,8.56,2.98,1.3,2.3,0.436241611,5,27.436,3.079167695
a422cc1f-7917-47d7-961d-730e056aaac0-000742d9,Entrance,5.397,12.413,9.96,2.7,2.28,2.3,0.844444444,7,33.702,2.715034923
a422cc1f-7917-47d7-961d-730e056aaac0-000742da,Kitchen,15.842,36.438,17.32,3.68,4.98,2.3,1.35326087,12,71.521,1.962839403
a422cc1f-7917-47d7-961d-730e056aaac0-000742db,Hallway,9.218,21.201,18.96,8.38,1.1,2.3,0.131264916,14,62.044,2.92641052
a422cc1f-7917-47d7-961d-730e056aaac0-000742dc,Living room,19.3,44.391,17.58,4.52,4.27,2.3,0.944690265,4,79.035,1.780431674
a422cc1f-7917-47d7-961d-730e056aaac0-000742dd,Dress room,10.431,23.991,14.74,3.62,3.75,2.3,1.035911602,8,54.764,2.282660798
a422cc1f-7917-47d7-961d-730e056aaac0-000742de,Bedroom,17.279,39.753,17.98,3.62,5.37,2.438,1.483425414,10,76.428,1.922586607
a422cc1f-7917-47d7-961d-730e056aaac0-000747d3,Bedroom,9.149,21.042,12.1,2.98,3.07,2.3,1.030201342,5,46.127,2.19216245
a422cc1f-7917-47d7-961d-730e056aaac0-000747d4,Balcony,3.874,8.91,8.56,2.98,1.3,2.3,0.436241611,5,27.436,3.079167695
a422cc1f-7917-47d7-961d-730e056aaac0-000747d5,AD/PD,0.45,1.035,2.8,0.5,0.9,2.3,1.8,4,7.34,7.09178744
a422cc1f-7917-47d7-961d-730e056aaac0-000747d6,Balcony,2.419,5.564,6.96,2.52,0.96,2.3,0.380952381,6,20.846,3.746477456
a422cc1f-7917-47d7-961d-730e056aaac0-000747d7,Bathroom,3.99,9.177,8.06,1.75,2.28,2.3,1.302857143,5,26.518,2.889615343
a422cc1f-7917-47d7-961d-730e056aaac0-000747d8,AD/PD,0.36,0.828,2.6,0.4,0.9,2.3,2.25,5,6.7,8.09178744
a422cc1f-7917-47d7-961d-730e056aaac0-000747d9,Bedroom,11.444,26.32,13.9,2.68,4.27,2.3,1.593283582,5,54.857,2.08421035
a422cc1f-7917-47d7-961d-730e056aaac0-000747da,AD/PD,0.68,1.564,4.2,1.7,0.4,2.3,0.235294118,4,11.02,7.046035806
a422cc1f-7917-47d7-961d-730e056aaac0-000747db,Storage,2.431,5.591,6.26,1.7,1.43,2.3,0.841176471,4,19.26,3.444637204
a422cc1f-7917-47d7-961d-730e056aaac0-000747dc,AD/PD,0.36,0.828,2.6,0.4,0.9,2.3,2.25,4,6.7,8.09178744
a422cc1f-7917-47d7-961d-730e056aaac0-000747dd,Bathroom,2.7,6.21,7.48,1.5,2.24,2.3,1.493333333,8,22.604,3.639935588
a422cc1f-7917-47d7-961d-730e056aaac0-000747de,Entrance,4.739,10.9,9.06,2.3,2.23,2.3,0.969565217,7,30.316,2.781360955
a422cc1f-7917-47d7-961d-730e056aaac0-000747df,Kitchen,15.606,35.894,16.72,3.93,4.43,2.3,1.127226463,10,69.668,1.940960456
a422cc1f-7917-47d7-961d-730e056aaac0-000747e0,Hallway,10.183,23.422,19.62,8.63,1.18,2.3,0.136732329,15,65.493,2.796238721
a422cc1f-7917-47d7-961d-730e056aaac0-000747e1,Living room,20.204,46.47,17.98,4.52,4.47,2.3,0.988938053,4,81.763,1.75947469
a422cc1f-7917-47d7-961d-730e056aaac0-000747e2,Dress room,10.399,23.917,14.5,3.62,3.63,2.3,1.002762431,8,54.147,2.263975334
a422cc1f-7917-47d7-961d-730e056aaac0-000747e3,Bedroom,17.399,40.019,17.98,3.62,5.37,2.3,1.483425414,10,76.153,1.902939182
a422cc1f-7917-47d7-961d-730e056aaac0-00074c52,AD/PD,2.142,4.927,5.92,1.26,1.7,2.3,1.349206349,4,17.9,3.633337393
a422cc1f-7917-47d7-961d-730e056aaac0-00074c53,Balcony,2.546,5.856,6.48,1.34,1.9,2.3,1.417910448,4,19.996,3.41473411
a422cc1f-7917-47d7-961d-730e056aaac0-00074c54,Dress room,5.94,13.662,10.2,1.8,3.3,2.3,1.833333333,5,35.34,2.586736935
a422cc1f-7917-47d7-961d-730e056aaac0-00074c55,Bedroom,10.464,24.067,13.52,4.36,2.4,2.3,0.550458716,6,52.024,2.161614147
a422cc1f-7917-47d7-961d-730e056aaac0-00074c56,Bedroom,8.4,19.32,11.8,3.5,2.4,2.3,0.685714286,5,43.94,2.274327122
a422cc1f-7917-47d7-961d-730e056aaac0-00074c57,Bathroom,3.74,8.602,7.8,1.7,2.2,2.3,1.294117647,6,25.42,2.955126715
a422cc1f-7917-47d7-961d-730e056aaac0-00074c58,Living room,29.032,66.775,22.5,7.24,4.01,2.3,0.553867403,13,109.815,1.644564424
a422cc1f-7917-47d7-961d-730e056aaac0-00074c71,Bedroom,11.418,26.261,13.52,3.46,3.3,2.3,0.953757225,6,53.932,2.053660506
a422cc1f-7917-47d7-961d-730e056aaac0-00074c72,Entrance,2.926,6.73,6.88,1.54,1.9,2.3,1.233766234,4,21.676,3.220898095
a422cc1f-7917-47d7-961d-730e056aaac0-00074c78,Bathroom,5.58,12.853,10.81,3.3,1.8,2.438,0.545454545,6,36.945,2.874364831
a422cc1f-7917-47d7-961d-730e056aaac0-00074c7b,Storage,3.328,7.653,7.54,2.36,1.41,2.3,0.597457627,5,23.997,3.135436429
a422cc1f-7917-47d7-961d-730e056aaac0-00074c7e,Hallway,8.037,18.485,14.22,5.7,1.41,2.3,0.247368421,12,48.78,2.638882127
a422cc1f-7917-47d7-961d-730e056aaac0-00074c84,Kitchen,11.123,25.583,15.58,5.7,2.09,2.3,0.366666667,6,58.08,2.270266467
a422cc1f-7917-47d7-961d-730e056aaac0-00074c8a,Evacuation room,1.608,3.698,5.08,1.34,1.2,2.3,0.895522388,4,14.9,4.028769197
a422cc1f-7917-47d7-961d-730e056aaac0-00074fcd,AD/PD,0.9,2.07,4.2,1.5,0.6,2.3,0.4,4,11.46,5.536231884
a422cc1f-7917-47d7-961d-730e056aaac0-00074fce,Bathroom,3.3,7.59,7.4,1.5,2.2,2.3,1.466666667,5,23.62,3.11198946
a422cc1f-7917-47d7-961d-730e056aaac0-00074fcf,Bedroom,9.563,21.996,12.38,3.22,2.97,2.3,0.922360248,6,47.601,2.164092996
a422cc1f-7917-47d7-961d-730e056aaac0-00074fd0,Balcony,4.186,9.628,9.04,3.22,1.3,2.3,0.403726708,5,29.164,3.029144768
